county_name, pop_total , pop_male , pop_female , hh_total , hh_conventional , hh_group_quarters , land_area_sqkm  , persons_per_sqkm  ,level
Makueni,"987,653","489,691","497,942","244,669","243,979",690,"8,177",121,County
Kathonzweni,"79,780","39,335","40,442","18,365","18,362",3,881,91,Sub-county
Kibwezi,"197,000","98,477","98,517","47,912","47,594",318,"3,137",63,Sub-county
Kilungu,"60,952","29,019","31,932","14,586","14,563",23,154,395,Sub-county
Makindu,"84,946","42,204","42,742","21,756","21,662",94,852,100,Sub-county
Makueni,"130,375","65,418","64,955","34,479","34,352",127,609,214,Sub-county
Mbooni East,"97,756","48,152","49,601","23,734","23,724",10,693,141,Sub-county
Mbooni West,"102,594","49,434","53,159","24,833","24,807",26,271,379,Sub-county
Mukaa,"107,549","54,481","53,068","28,185","28,109",76,804,134,Sub-county
Nzaui,"126,701","63,171","63,526","30,819","30,806",13,775,163,Sub-county
Nyandarua,"638,289","315,022","323,247","179,686","178,224","1,462","3,286",194,County
Kinangop,"111,410","54,727","56,679","30,970","30,847",123,294,379,Sub-county
Nyandarua South,"93,870","46,157","47,708","25,822","25,650",172,314,299,Sub-county
Mirangine,"67,214","33,447","33,766","18,816","17,880",936,246,274,Sub-county
Kipipiri,"93,855","46,113","47,740","25,200","25,077",123,456,206,Sub-county
Nyandarua Central,"75,262","37,329","37,931","21,942","21,852",90,347,217,Sub-county
Nyandarua West,"97,965","48,752","49,209","29,008","29,003",5,385,255,Sub-county
Nyandarua North,"98,698","48,486","50,210","27,917","27,906",11,528,187,Sub-county
Aberdare National Park,15,11,4,11,9,2,717,0,Sub-county
Nyeri,"759,164","374,288","384,845","248,050","244,564","3,486","3,325",228,County
Tetu,"80,453","39,293","41,155","24,139","24,122",17,217,372,Sub-county
Kieni East,"110,376","55,360","55,012","36,835","36,751",84,449,246,Sub-county
Kieni West,"88,525","43,843","44,677","27,619","27,530",89,518,171,Sub-county
Mathira East,"99,065","48,070","50,992","35,044","33,945","1,099",130,760,Sub-county
Mathira West,"59,895","29,480","30,412","19,020","18,892",128,162,369,Sub-county
Nyeri South,"91,081","44,115","46,964","28,228","28,103",125,169,538,Sub-county
Mukurwe-Ini,"89,137","43,975","45,156","27,040","27,036",4,179,498,Sub-county
Nyeri Central,"140,338","69,955","70,380","49,945","48,036","1,909",168,837,Sub-county
Mt. Kenya Forest,188,123,65,101,101, - ,611,0,Sub-county
Aberdare Forest,106,74,32,79,48,31,722,0,Sub-county
Kirinyaga,"610,411","302,011","308,369","204,188","203,576",612,"1,478",413,County
Kirinyaga Central,"122,740","60,118","62,617","40,225","40,149",76,153,800,Sub-county
Kirinyaga East,"135,559","67,037","68,514","44,571","44,509",62,232,585,Sub-county
Kirinyaga West,"114,660","56,154","58,502","38,309","37,951",358,208,552,Sub-county
Mwea East,"132,554","66,432","66,114","46,340","46,331",9,303,437,Sub-county
Mwea West,"104,828","52,228","52,594","34,720","34,613",107,239,438,Sub-county
Mount Kenya Forest,70,42,28,23,23, - ,343,0,Sub-county
Murang'a,"1,056,640","523,940","532,669","318,105","317,496",609,"2,523",419,County
Murang'A East,"110,311","54,665","55,645","34,734","34,650",84,241,458,Sub-county
Kangema,"80,447","39,582","40,862","25,293","25,283",10,174,463,Sub-county
Mathioya,"92,814","45,454","47,359","28,400","28,372",28,178,523,Sub-county
Kahuro,"88,193","43,352","44,834","26,930","26,778",152,169,521,Sub-county
Murang'A South,"184,824","91,732","93,087","55,998","55,878",120,457,405,Sub-county
Gatanga,"187,989","94,437","93,548","55,461","55,340",121,531,354,Sub-county
Kigumo,"136,921","67,989","68,929","40,552","40,528",24,244,561,Sub-county
